OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
47152,Suspicious Person (P),YES,NO,Black,Black,Male,5.0
27045,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
28482,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,1.0
153876,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
150605,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
31054,Suspicious Person (P),YES,NO,Latino,Latino,Male,3.0
48712,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
7847,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
88594,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
30063,Suspicious Person (P),NO,NO,White,White,Male,2.0
76474,Suspicious Vehicle (P),NO,NO,Black,Black,Male,2.0
20015,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
97446,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
15774,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
118751,Suspicious Person (P),NO,NO,White,White,Male,5.0
33395,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
32277,Suspicious Person (P),NO,NO,Black,White,Male,4.0
24312,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
43731,Suspicious Vehicle (P),YES,NO,Other,Other,Female,5.0
4953,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
85382,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
98047,Suspicious Person (P),NO,YES,Black,Black,Male,4.0
65999,Suspicious Person (P),YES,YES,Black,Black,Male,3.0
116593,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
130855,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
160034,Suspicious Person (P),NO,NO,White,White,Male,2.0
93094,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
143845,Suspicious Person (P),YES,NO,Black,Black,Female,4.0
126163,Suspicious Person (P),NO,NO,White,White,Female,1.0
47464,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
79259,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
137801,Suspicious Person (P),NO,NO,Black,Black,Female,1.0
131368,Traffic Law Enforcement (P),YES,YES,Black,White,Male,4.0
57226,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
43472,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
89002,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
86452,Suspicious Vehicle (P),YES,NO,Black,Black,Male,4.0
39646,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
111659,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
30908,Suspicious Vehicle (P),YES,NO,White,White,Male,4.0
43161,Suspicious Person (P),NO,NO,White,White,Female,3.0
92309,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
44660,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
134368,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
99807,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
139566,Attempt Pick-Up (P),NO,NO,White,White,Female,1.0
137068,Suspicious Vehicle (P),YES,YES,Black,Black,Male,4.0
124450,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
134215,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
70022,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
2595,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
33049,Traffic Law Enforcement (P),NO,NO,Other,Black,Female,4.0
106573,Traffic Law Enforcement (P),NO,NO,White,White,Female,1.0
44261,Suspicious Person (P),NO,NO,Native American,Native American,Female,1.0
136699,Traffic Law Enforcement (P),NO,YES,Latino,Latino,Female,1.0
58193,Traffic Law Enforcement (P),NO,NO,White,Black,Male,5.0
111449,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
18706,Suspicious Person (P),NO,NO,White,White,Male,5.0
131369,Suspicious Vehicle (P),NO,NO,White,White,Male,1.0
158510,Suspicious Vehicle (P),NO,NO,White,White,Male,1.0
101766,Suspicious Person (P),NO,NO,Other,Other,Female,5.0
75132,Traffic Law Enforcement (P),NO,NO,Latino,Latino,Male,5.0
153513,Attempt Pick-Up (P),YES,NO,Black,Black,Male,1.0
139103,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
128218,Suspicious Person (P),NO,NO,Asian,Asian,Male,1.0
153031,Suspicious Vehicle (P),YES,YES,White,White,Male,1.0
155464,Traffic Law Enforcement (P),NO,NO,White,White,Female,4.0
74352,Suspicious Person (P),NO,NO,White,White,Male,5.0
92454,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
75073,Suspicious Vehicle (P),NO,NO,White,White,Male,5.0
93215,Suspicious Person (P),NO,NO,White,White,Male,5.0
70623,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
80907,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
19200,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
35568,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
42892,Suspicious Person (P),NO,NO,Black,Other,Male,1.0
120942,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,3.0
